Name,Nom,Growth,Soil,Sunlight,Watering,Fertilization,Life_cycle,Type_subshrub,Type_climbing,Type_succulent,Type_tree,Type_epiphytic,Type_shrub,Type_herbaceous,Usage_industrial,Usage_ornamental,Usage_aromatic,Usage_medicinal,Usage_melliferae,Usage_fodder,Usage_vegetable,Usage_fruit,Usage_spice,Usage_oil
acacia,Acacia,2,0,2,1,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
wattle,Acacia,1,0,2,1,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
acalypha,Acalypha,1,0,2,3,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
acanthus,Acanthus,1,2,1,3,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
yarrow,Achillée millefeuille,1,0,2,1,4,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
kiwi,Actinidia,2,2,2,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
islander (agave),Agave,0,3,2,1,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ageratum,Ageratum,2,3,2,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
aloe vera,Aloès,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
alstroemeria,Alstroemeria,0,2,1,1,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
alyssum,Alysson,2,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
amaranth,Amarante,2,2,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
amaryllis,Amaryllis,1,0,2,2,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
pineapple,Ananas,0,0,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
columbine,Ancolie,1,3,1,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
anemone,Anémone,1,3,1,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
japanese anemone,Anémone du japon,1,3,1,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
dill,Aneth,1,0,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
angelonia,Angelonia,1,3,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
anigozanthos (kangaroo paw),Anigozanthos (patte de kangourou),1,0,2,1,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
anthurium,Anthurium,1,3,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
aquilegia (columbine),Aquilegia (ancolie),1,2,1,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
silverbell tree,Arbre à clochettes argentées,1,4,2,3,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
gumwood tree,Arbre à gomme,1,2,1,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
armeria (thrift),Armeria (armérie),0,0,2,1,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
arum lily,Arum lily,1,4,1,3,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
calla lily,Arum lys,1,0,1,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
aster,Aster,1,3,2,0,2,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
astilbe,Astilbe,1,3,1,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
eggplant,Aubergine,1,2,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
azalea,Azalée,1,1,1,2,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
balsam,Balsamine,2,4,2,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
bamboo,Bambou,1,1,1,2,3,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
lotus bamboo,Bambou lotus,0,3,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
banana plant,Bananier,2,4,2,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
banyan tree (bargad),Banyan tree (bargad),0,3,2,3,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
basil,Basilic,2,3,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
beggonia,Bégonia,1,3,2,3,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ber tree (indian jujube),Ber tree (jujubier indien),1,0,2,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
heracleum (cow parsnip),Berce laineuse,2,2,1,2,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
bergamot,Bergamote,1,2,1,3,4,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
beetroot,Betterave,1,0,2,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
cornflower,Bleuet,1,3,2,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ironwood,Bois de fer,0,2,2,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
bok choy,Bok choy,2,2,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
bougainvillea,Bougainvillier,2,3,2,1,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
globe thistle,Boule azurée,1,0,2,1,2,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
river birch,Bouleau riverain,1,3,2,3,4,2,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
borage,Bourrache,2,3,2,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
bachelorâs button,Bouton de célibataire,2,0,2,1,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
brachychiton (bottle tree),Brachychiton (arbre bouteille),0,3,2,3,4,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
brassica,Brassica,1,4,2,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
bromeliad,Broméliacée,1,3,0,0,4,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
